id,title,text,label
0,Celebrity Secretly Controls World Government 45,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
1,City Opens New Community Center for Residents - 75,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
2,Celebrity Secretly Controls World Government 18,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
3,Tech Company Launches Updated Software Version - 28,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
4,Shocking Truth: Government Hiding Alien Contact 1,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
5,School District Implements New Education Program - 28,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
6,Shocking Truth: Government Hiding Alien Contact 51,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
7,Government Releases Annual Budget Proposal - 32,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
8,Amazing: This One Trick Doctors Don't Want You to Know 12,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
9,University Researchers Make Progress in Cancer Study - 51,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
10,Celebrity Secretly Controls World Government 21,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
11,Museum Hosts Exhibition of Historical Artifacts - 34,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
12,Amazing: This One Trick Doctors Don't Want You to Know 19,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
13,Research Team Publishes Study on Climate Patterns - 41,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
14,BREAKING: Scientists Discover Cure for All Diseases! 8,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
15,School District Implements New Education Program - 80,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
